OREGgene_symbol	OREGstrand	OREGtype	OREGexperimental_outcome	OREGdatabase_ID	OREGNCBI
HCG15,HCG15,HCG15,HCG15,HCG15,HCG15,N/A	1,1,1,1,1,1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933,OREG1617813,OREG1608626,OREG1547229,OREG0990899	18971253,18971253,18971253,18971253,18971253,18971253,24194598
HCG15,HCG15,HCG15,HCG15,HCG15,HCG15	1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933,OREG1617813,OREG1608626,OREG1547229	18971253,18971253,18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15,HCG15,HCG15,HCG15,HCG15	1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933,OREG1617813,OREG1608626,OREG1547229,OREG1197882	18971253,18971253,18971253,18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15,HCG15,HCG15,HCG15	1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A	OREG1888497,OREG1228933,OREG1617813,OREG1608626,OREG1547229,OREG1197882	18971253,18971253,18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15,HCG15,HCG15,HCG15	1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A	OREG1888497,OREG1228933,OREG1617813,OREG1608626,OREG1547229,OREG1197882	18971253,18971253,18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15,HCG15,HCG15,HCG15	1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A	OREG1888497,OREG1228933,OREG1617813,OREG1608626,OREG1547229,OREG1197882	18971253,18971253,18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15,HCG15,HCG15	1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1888497,OREG1228933,OREG1617813,OREG1608626,OREG1197882	18971253,18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1888497,OREG1228933,OREG1395736	18971253,18971253,18971253
-	-	-	-	-	-
NFKBIL1,NFKBIL1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1221407,OREG1543515	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
SNX14,SNX14,SNX14	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1631588,OREG1572898,OREG1703588	18971253,18971253,18971253
SNX14,SNX14,SNX14	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1631588,OREG1572898,OREG1703588	18971253,18971253,18971253
SNX14,SNX14	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1219629,OREG1340603	18971253,18971253
SNX14,SNX14	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1219629,OREG1340603	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
UNCX	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1169862	18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
DNAH11	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1231751	18971253
DNAH11	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1231751	18971253
N/A,IL6,IL6,N/A,N/A,N/A,N/A,N/A	1,1,1,-1,-1,1,1,-1	REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	POSITIVE_OUTCOME,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG0017891,OREG1881117,OREG1491567,OREG0857304,OREG0888789,OREG0726818,OREG0650815,OREG0740838	N/A,18971253,18971253,24194598,24194598,24194598,24194598,24194598
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
POU5F1B	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1602756	18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1306387,OREG1836496	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1661035,OREG1602752	18971253,18971253
POU5F1B,POU5F1B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1661035,OREG1602752	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
PVT1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1256460	18971253
MIR1208,MIR1208	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1228726,OREG1259121	18971253,18971253
N/A,GSDMC	N/A,1	REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG0070686,OREG1761745	17130149,18971253
TNFRSF10A,TNFRSF10A	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1257616,OREG1227327	18971253,18971253
-	-	-	-	-	-
CLU	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1860895	18971253
-	-	-	-	-	-
ERICH1,ERICH1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1487886,OREG1612229	18971253,18971253
ERICH1,ERICH1,N/A	1,1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1487886,OREG1612229,OREG0722050	18971253,18971253,24194598
ERICH1,ERICH1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1487886,OREG1612229	18971253,18971253
ERICH1,ERICH1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1487886,OREG1219706	18971253,18971253
ERICH1,ERICH1,ERICH1,ERICH1,ERICH1,ERICH1	1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A	OREG1487886,OREG1219706,OREG1572987,OREG1631674,OREG1612227,OREG1167981	18971253,18971253,18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
FOXE1,FOXE1,FOXE1,FOXE1,FOXE1	1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1197288,OREG1910919,OREG1754055,OREG1730709,OREG1308993	18971253,18971253,18971253,18971253,18971253
FOXE1,FOXE1,FOXE1,FOXE1	1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A	OREG1197288,OREG1910919,OREG1754055,OREG1730709	18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
N/A,CDKN2B-AS1	N/A,1	REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG0070678,OREG1902876	17130149,18971253
N/A,CDKN2B-AS1	N/A,1	REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG0070678,OREG1597765	17130149,18971253
-	-	-	-	-	-
CDKN2B-AS1,CDKN2B-AS1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1902866,OREG1597762	18971253,18971253
CDKN2B-AS1,CDKN2B-AS1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1902866,OREG1597762	18971253,18971253
CDKN2B-AS1,CDKN2B-AS1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1902866,OREG1597762	18971253,18971253
CDKN2B-AS1,CDKN2B-AS1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1902866,OREG1597762	18971253,18971253
CDKN2B-AS1,CDKN2B-AS1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1902866,OREG1597762	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
F9	-1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1754449	18971253
F8	-1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0003626	12566409
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
ALAS2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1250015	18971253
GJB1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1765075	18971253
